SCHEMA;TABLE;COLUMN;TYPE;COMMENT;COMMENT COLUMN
{db_name};bpm_batch_erp;batch_id;INT;Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;supply_id;VARCHAR(10);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;actualy_delivered_qnt;DECIMAL(2,3);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;material_row_id;VARCHAR(40);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;sales_document_row_id;VARCHAR(10);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;warehouse_id;VARCHAR(4);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;cert_row_id;VARCHAR(10);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;sales_channel_row_id;VARCHAR(2);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;transport_row_id;VARCHAR(4);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;shipment_date;DATE;Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;waybill_id;VARCHAR(35);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;ship_point_row_id;VARCHAR(4);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;load_id;STRING;Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;load_dttm;TIMESTAMP;Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;extraction_query_id;STRING;Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;op_cd;CHAR(1);Поставки (Партии);Поставки (Партии)
{db_name};bpm_batch_erp;load_ts_dttm;TIMESTAMP;Поставки (Партии);Поставки (Партии)
{db_name};bpm_shipment_erp;supply_id;VARCHAR(10);Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;supply_type_row_id;VARCHAR(4);Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;route_row_id;VARCHAR(6);Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;sales_organisation_row_id;VARCHAR(4);Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;load_id;STRING;Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;load_id;STRING;Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;load_dttm;TIMESTAMP;Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;extraction_query_id;STRING;Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;op_cd;CHAR(1);Поставки;Поставки (Партии)
{db_name};bpm_shipment_erp;load_ts_dttm;TIMESTAMP;Поставки;Поставки (Партии)
{db_name};bpm_material_text_erp;material_text_row_id;VARCHAR(40);Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;material_text_language;STRING;Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;material_name;VARCHAR(40);Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;material_des;VARCHAR(40);Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;load_id;STRING;Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;load_dttm;TIMESTAMP;Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;extraction_query_id;STRING;Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;op_cd;CHAR(1);Материалы текст;Поставки (Партии)
{db_name};bpm_material_text_erp;load_ts_dttm;TIMESTAMP;Материалы текст;Поставки (Партии)
{db_name};bpm_material_erp;material_row_id;VARCHAR(40);Материалы;Поставки (Партии)
{db_name};bpm_material_erp;sales_organisation_id;VARCHAR(4);Материалы;Поставки (Партии)
{db_name};bpm_material_erp;sales_channel_id;VARCHAR(2);Материалы;Поставки (Партии)
{db_name};bpm_material_erp;quotation_group_row_id;VARCHAR(2);Материалы;Поставки (Партии)
{db_name};bpm_material_erp;load_id;STRING;Материалы;Поставки (Партии)
{db_name};bpm_material_erp;load_dttm;TIMESTAMP;Материалы;Поставки (Партии)
{db_name};bpm_material_erp;extraction_query_id;STRING;Материалы;Поставки (Партии)
{db_name};bpm_material_erp;op_cd;CHAR(1);Материалы;Поставки (Партии)
{db_name};bpm_material_erp;load_ts_dttm;TIMESTAMP;Материалы;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;quotation_group_language;STRING;Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;quotation_group_row_id;VARCHAR(2);Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;quotation_group_desc;VARCHAR(20);Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;load_id;STRING;Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;load_dttm;TIMESTAMP;Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;extraction_query_id;STRING;Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;op_cd;CHAR(1);Группы контировки текст;Поставки (Партии)
{db_name};bpm_material_quotation_group_erp;load_ts_dttm;TIMESTAMP;Группы контировки текст;Поставки (Партии)
{db_name};bpm_transport_erp;transport_language;STRING;Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;transport_row_id;VARCHAR(4);Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;transport_desc;VARCHAR(20);Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;load_id;STRING;Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;load_dttm;TIMESTAMP;Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;extraction_query_id;STRING;Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;op_cd;CHAR(1);Транспорт текст;Поставки (Партии)
{db_name};bpm_transport_erp;load_ts_dttm;TIMESTAMP;Транспорт текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;supply_type_language;STRING;Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;supply_type_row_id;VARCHAR(4);Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;supply_type_desc;VARCHAR(20);Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;load_id;STRING;Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;load_dttm;TIMESTAMP;Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;extraction_query_id;STRING;Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;op_cd;CHAR(1);Вид поставки текст;Поставки (Партии)
{db_name};bpm_supply_type_erp;load_ts_dttm;TIMESTAMP;Вид поставки текст;Поставки (Партии)
{db_name};bpm_route_erp;route_language;STRING;Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;route_row_id;VARCHAR(6);Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;route_desc;VARCHAR(420);Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;load_id;STRING;Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;load_dttm;TIMESTAMP;Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;extraction_query_id;STRING;Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;op_cd;CHAR(1);Маршруты текст;Поставки (Партии)
{db_name};bpm_route_erp;load_ts_dttm;TIMESTAMP;Маршруты текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;sales_org_language;STRING;Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;sales_org_row_id;VARCHAR(4);Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;sales_org_desc;VARCHAR(20);Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;load_id;STRING;Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;load_dttm;TIMESTAMP;Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;extraction_query_id;STRING;Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;op_cd;CHAR(1);Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_sales_organisation_erp;load_ts_dttm;TIMESTAMP;Сбытовая организация текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;shipment_point_language;STRING;Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;shipment_point_row_id;VARCHAR(4);Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;shipment_point_desc;VARCHAR(30);Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;load_id;STRING;Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;load_dttm;TIMESTAMP;Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;extraction_query_id;STRING;Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;op_cd;CHAR(1);Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_point_erp;load_ts_dttm;TIMESTAMP;Пункты отгрузки текст;Поставки (Партии)
{db_name};bpm_shipment_to_billing_erp;next_document;VARCHAR(10);Поток документов, связь между документов. промежуточная таблица;Поставки (Партии)
{db_name};bpm_shipment_to_billing_erp;prev_document;VARCHAR(10);Поток документов, связь между документов. промежуточная таблица;Поставки (Партии)
{db_name};bpm_shipment_to_billing_erp;next_document_type;VARCHAR(4);Поток документов, связь между документов. промежуточная таблица;Поставки (Партии)
{db_name};bpm_shipment_to_billing_erp;load_id;STRING;Поток документов, связь между документов. промежуточная таблица;Поставки (Партии)
{db_name};bpm_shipment_to_billing_erp;load_dttm;TIMESTAMP;Поток документов, связь между документов. промежуточная таблица;Поставки (Партии)
